name,address,wifi
kitchen キッチン 084 ohashi,沖縄県那覇市牧志３-5-19,あり
沖縄居酒屋 オリオン食堂 行徳店,千葉県市川市行徳駅前２－２３－６,なし
和風ダイニング 壺,沖縄県那覇市壺川２-5-6,未確認
炙る チェリチェリ,沖縄県那覇市久茂地３-8-19,あり
ふぁみりー居酒屋 だんらん,香川県高松市木太町３６２８ー１,未確認
ホルモンここから　那覇栄町店,沖縄県那覇市安里３-88-10,なし
あぐーの隠れ家 北谷店,沖縄県中頭郡北谷町美浜２‐２‐２,あり
バルコラボ 那覇新都心,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,あり
首里殿内 すいどぅんち,沖縄県那覇市首里金城町２－８１,未確認
海人 うみんちゅ 大山店,東京都板橋区大山東町21-9　2F,未確認
